,memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,marketingYear,stage,type,variety
0,IT,Italy,13/10/2008,19/10/2008,7,1010.0,Tonne,2008/2009,Milled,Japonica,Ariete
1,IT,Italy,12/01/2009,18/01/2009,20,940.0,Tonne,2008/2009,Milled,Japonica,Ariete
2,IT,Italy,18/02/2008,24/02/2008,25,635.0,Tonne,2007/2008,Milled,Japonica,Ariete
3,IT,Italy,07/07/2008,13/07/2008,45,1030.0,Tonne,2007/2008,Milled,Japonica,Ariete
4,IT,Italy,14/04/2008,20/04/2008,33,730.0,Tonne,2007/2008,Milled,Japonica,Ariete
5,IT,Italy,05/11/2007,11/11/2007,10,610.0,Tonne,2007/2008,Milled,Japonica,Ariete
6,IT,Italy,22/11/2010,28/11/2010,13,730.0,Tonne,2010/2011,Milled,Japonica,Ariete
7,IT,Italy,29/03/2010,04/04/2010,31,655.0,Tonne,2009/2010,Milled,Japonica,Ariete
8,IT,Italy,09/11/2009,15/11/2009,11,730.0,Tonne,2009/2010,Milled,Japonica,Ariete
9,IT,Italy,26/10/2009,01/11/2009,9,720.0,Tonne,2009/2010,Milled,Japonica,Ariete
10,IT,Italy,15/02/2010,21/02/2010,25,715.0,Tonne,2009/2010,Milled,Japonica,Ariete
11,IT,Italy,25/01/2010,31/01/2010,22,730.0,Tonne,2009/2010,Milled,Japonica,Ariete
12,IT,Italy,04/05/2009,10/05/2009,36,950.0,Tonne,2008/2009,Milled,Japonica,Ariete
13,IT,Italy,27/04/2009,03/05/2009,35,980.0,Tonne,2008/2009,Milled,Japonica,Ariete
14,IT,Italy,20/04/2009,26/04/2009,34,980.0,Tonne,2008/2009,Milled,Japonica,Ariete
15,IT,Italy,31/08/2009,06/09/2009,1,780.0,Tonne,2009/2010,Milled,Japonica,Ariete
16,IT,Italy,02/03/2009,08/03/2009,27,1015.0,Tonne,2008/2009,Milled,Japonica,Ariete
17,IT,Italy,28/11/2011,04/12/2011,14,780.0,Tonne,2011/2012,Milled,Japonica,Ariete
18,IT,Italy,04/04/2011,10/04/2011,32,890.0,Tonne,2010/2011,Milled,Japonica,Ariete
19,IT,Italy,11/07/2011,17/07/2011,46,710.0,Tonne,2010/2011,Milled,Japonica,Ariete
20,IT,Italy,30/05/2011,05/06/2011,40,825.0,Tonne,2010/2011,Milled,Japonica,Ariete
21,IT,Italy,21/02/2011,27/02/2011,26,890.0,Tonne,2010/2011,Milled,Japonica,Ariete
22,IT,Italy,08/11/2010,14/11/2010,11,730.0,Tonne,2010/2011,Milled,Japonica,Ariete
23,IT,Italy,20/12/2010,26/12/2010,17,730.0,Tonne,2010/2011,Milled,Japonica,Ariete
24,IT,Italy,13/12/2010,19/12/2010,16,730.0,Tonne,2010/2011,Milled,Japonica,Ariete
25,IT,Italy,14/01/2013,20/01/2013,20,610.0,Tonne,2012/2013,Milled,Japonica,Ariete
26,IT,Italy,15/10/2012,21/10/2012,7,600.0,Tonne,2012/2013,Milled,Japonica,Ariete
27,IT,Italy,02/04/2012,08/04/2012,32,710.0,Tonne,2011/2012,Milled,Japonica,Ariete
